"","index","G_DE1","G_DE2","G_nonDE1","G_nonDE2","N_ctrl1","N_case1","N_ctrl2","N_case2","mu1","mu2","bio_fold","size1","size2","N_1","N_2","mu1_up","mu2_up","var1_ctrl","var1_case","var2_ctrl","var2_case"
"1",1,50,50,950,950,20,20,20,20,10,5,2,20,10,40,40,20,10,15,40,7.5,20
"2",2,50,50,950,950,20,20,20,20,10,10,2,20,10,40,40,20,20,15,40,20,60
"3",3,50,50,950,950,20,20,20,20,10,13,2,20,10,40,40,20,26,15,40,29.9,93.6
"4",4,50,50,950,950,20,20,20,20,10,15,2,20,10,40,40,20,30,15,40,37.5,120
"5",5,50,50,950,950,20,20,20,20,10,20,2,20,10,40,40,20,40,15,40,60,200
"6",6,50,50,950,950,20,20,20,20,10,5,2,20,20,40,40,20,10,15,40,6.25,15
"7",7,50,50,950,950,20,20,20,20,10,10,2,20,20,40,40,20,20,15,40,15,40
"8",8,50,50,950,950,20,20,20,20,10,13,2,20,20,40,40,20,26,15,40,21.45,59.8
"9",9,50,50,950,950,20,20,20,20,10,15,2,20,20,40,40,20,30,15,40,26.25,75
"10",10,50,50,950,950,20,20,20,20,10,20,2,20,20,40,40,20,40,15,40,40,120
"11",11,50,50,950,950,20,20,20,20,10,5,2,20,40,40,40,20,10,15,40,5.625,12.5
"12",12,50,50,950,950,20,20,20,20,10,10,2,20,40,40,40,20,20,15,40,12.5,30
"13",13,50,50,950,950,20,20,20,20,10,13,2,20,40,40,40,20,26,15,40,17.225,42.9
"14",14,50,50,950,950,20,20,20,20,10,15,2,20,40,40,40,20,30,15,40,20.625,52.5
"15",15,50,50,950,950,20,20,20,20,10,20,2,20,40,40,40,20,40,15,40,30,80
"16",16,50,50,950,950,20,20,20,20,10,5,2,20,100,40,40,20,10,15,40,5.25,11
"17",17,50,50,950,950,20,20,20,20,10,10,2,20,100,40,40,20,20,15,40,11,24
"18",18,50,50,950,950,20,20,20,20,10,13,2,20,100,40,40,20,26,15,40,14.69,32.76
"19",19,50,50,950,950,20,20,20,20,10,15,2,20,100,40,40,20,30,15,40,17.25,39
"20",20,50,50,950,950,20,20,20,20,10,20,2,20,100,40,40,20,40,15,40,24,56
