"","index","G_DE1","G_DE2","G_nonDE1","G_nonDE2","N_ctrl1","N_case1","N_ctrl2","N_case2","mu1","mu2","bio_fold","size1","size2"
"1",1,50,50,950,950,5,5,5,5,10,5,2,20,10
"2",2,50,50,950,950,5,5,5,5,10,10,2,20,10
"3",3,50,50,950,950,5,5,5,5,10,13,2,20,10
"4",4,50,50,950,950,5,5,5,5,10,15,2,20,10
"5",5,50,50,950,950,5,5,5,5,10,20,2,20,10
"6",6,50,50,950,950,5,5,5,5,10,5,2,20,20
"7",7,50,50,950,950,5,5,5,5,10,10,2,20,20
"8",8,50,50,950,950,5,5,5,5,10,13,2,20,20
"9",9,50,50,950,950,5,5,5,5,10,15,2,20,20
"10",10,50,50,950,950,5,5,5,5,10,20,2,20,20
"11",11,50,50,950,950,5,5,5,5,10,5,2,20,40
"12",12,50,50,950,950,5,5,5,5,10,10,2,20,40
"13",13,50,50,950,950,5,5,5,5,10,13,2,20,40
"14",14,50,50,950,950,5,5,5,5,10,15,2,20,40
"15",15,50,50,950,950,5,5,5,5,10,20,2,20,40
"16",16,50,50,950,950,5,5,5,5,10,5,2,20,100
"17",17,50,50,950,950,5,5,5,5,10,10,2,20,100
"18",18,50,50,950,950,5,5,5,5,10,13,2,20,100
"19",19,50,50,950,950,5,5,5,5,10,15,2,20,100
"20",20,50,50,950,950,5,5,5,5,10,20,2,20,100
